date_key,full_date,year,month,month_name,day,day_of_week_num,day_name,is_weekend,quarter
66,2016-03-06 00:00:00+05:30,2016,3,March    ,6,0,Sunday   ,t,1
67,2016-03-07 00:00:00+05:30,2016,3,March    ,7,1,Monday   ,f,1
68,2016-03-08 00:00:00+05:30,2016,3,March    ,8,2,Tuesday  ,f,1
69,2016-03-09 00:00:00+05:30,2016,3,March    ,9,3,Wednesday,f,1
70,2016-03-10 00:00:00+05:30,2016,3,March    ,10,4,Thursday ,f,1
71,2016-03-11 00:00:00+05:30,2016,3,March    ,11,5,Friday   ,f,1
72,2016-03-12 00:00:00+05:30,2016,3,March    ,12,6,Saturday ,t,1
73,2016-03-13 00:00:00+05:30,2016,3,March    ,13,0,Sunday   ,t,1
74,2016-03-14 00:00:00+05:30,2016,3,March    ,14,1,Monday   ,f,1
75,2016-03-15 00:00:00+05:30,2016,3,March    ,15,2,Tuesday  ,f,1
76,2016-03-16 00:00:00+05:30,2016,3,March    ,16,3,Wednesday,f,1
77,2016-03-17 00:00:00+05:30,2016,3,March    ,17,4,Thursday ,f,1
78,2016-03-18 00:00:00+05:30,2016,3,March    ,18,5,Friday   ,f,1
79,2016-03-19 00:00:00+05:30,2016,3,March    ,19,6,Saturday ,t,1
80,2016-03-20 00:00:00+05:30,2016,3,March    ,20,0,Sunday   ,t,1
81,2016-03-21 00:00:00+05:30,2016,3,March    ,21,1,Monday   ,f,1
82,2016-03-22 00:00:00+05:30,2016,3,March    ,22,2,Tuesday  ,f,1
83,2016-03-23 00:00:00+05:30,2016,3,March    ,23,3,Wednesday,f,1
84,2016-03-24 00:00:00+05:30,2016,3,March    ,24,4,Thursday ,f,1
85,2016-03-25 00:00:00+05:30,2016,3,March    ,25,5,Friday   ,f,1
86,2016-03-26 00:00:00+05:30,2016,3,March    ,26,6,Saturday ,t,1
87,2016-03-27 00:00:00+05:30,2016,3,March    ,27,0,Sunday   ,t,1
88,2016-03-28 00:00:00+05:30,2016,3,March    ,28,1,Monday   ,f,1
89,2016-03-29 00:00:00+05:30,2016,3,March    ,29,2,Tuesday  ,f,1
90,2016-03-30 00:00:00+05:30,2016,3,March    ,30,3,Wednesday,f,1
91,2016-03-31 00:00:00+05:30,2016,3,March    ,31,4,Thursday ,f,1
92,2016-04-01 00:00:00+05:30,2016,4,April    ,1,5,Friday   ,f,2
93,2016-04-02 00:00:00+05:30,2016,4,April    ,2,6,Saturday ,t,2
94,2016-04-03 00:00:00+05:30,2016,4,April    ,3,0,Sunday   ,t,2
95,2016-04-04 00:00:00+05:30,2016,4,April    ,4,1,Monday   ,f,2
96,2016-04-05 00:00:00+05:30,2016,4,April    ,5,2,Tuesday  ,f,2
97,2016-04-06 00:00:00+05:30,2016,4,April    ,6,3,Wednesday,f,2
98,2016-04-07 00:00:00+05:30,2016,4,April    ,7,4,Thursday ,f,2
99,2016-04-08 00:00:00+05:30,2016,4,April    ,8,5,Friday   ,f,2
100,2016-04-09 00:00:00+05:30,2016,4,April    ,9,6,Saturday ,t,2
101,2016-04-10 00:00:00+05:30,2016,4,April    ,10,0,Sunday   ,t,2
102,2016-04-11 00:00:00+05:30,2016,4,April    ,11,1,Monday   ,f,2
103,2016-04-12 00:00:00+05:30,2016,4,April    ,12,2,Tuesday  ,f,2
104,2016-04-13 00:00:00+05:30,2016,4,April    ,13,3,Wednesday,f,2
105,2016-04-14 00:00:00+05:30,2016,4,April    ,14,4,Thursday ,f,2
106,2016-04-15 00:00:00+05:30,2016,4,April    ,15,5,Friday   ,f,2
107,2016-04-16 00:00:00+05:30,2016,4,April    ,16,6,Saturday ,t,2
108,2016-04-17 00:00:00+05:30,2016,4,April    ,17,0,Sunday   ,t,2
109,2016-04-18 00:00:00+05:30,2016,4,April    ,18,1,Monday   ,f,2
110,2016-04-19 00:00:00+05:30,2016,4,April    ,19,2,Tuesday  ,f,2
111,2016-04-20 00:00:00+05:30,2016,4,April    ,20,3,Wednesday,f,2
112,2016-04-21 00:00:00+05:30,2016,4,April    ,21,4,Thursday ,f,2
113,2016-04-22 00:00:00+05:30,2016,4,April    ,22,5,Friday   ,f,2
114,2016-04-23 00:00:00+05:30,2016,4,April    ,23,6,Saturday ,t,2
115,2016-04-24 00:00:00+05:30,2016,4,April    ,24,0,Sunday   ,t,2
116,2016-04-25 00:00:00+05:30,2016,4,April    ,25,1,Monday   ,f,2
117,2016-04-26 00:00:00+05:30,2016,4,April    ,26,2,Tuesday  ,f,2
118,2016-04-27 00:00:00+05:30,2016,4,April    ,27,3,Wednesday,f,2
